t_ms,value
0.0,48
7.0,47
11.0,47
16.0,45
27.0,-273
36.0,-511
43.0,-787
46.0,-921
50.0,-1045
53.0,-1045
55.0,-1166
58.0,-1292
65.0,-1414
68.0,-1400
72.0,-1656
76.0,-1755
79.0,-1863
84.0,-1962
89.0,-2066
95.0,-2235
101.0,-2400
104.0,-2400
107.0,-2485
111.0,-2559
114.0,-2634
120.0,-2705
124.0,-2590
133.0,-2917
145.0,-3110
148.0,-3173
152.0,-3289
158.0,-3346
169.0,-3501
172.0,-3501
175.0,-3550
178.0,-3586
184.0,-3640
189.0,-3729
193.0,-3770
198.0,-3813
201.0,-3855
206.0,-3897
211.0,-3935
217.0,-4010
219.0,-4045
227.0,-4079
231.0,-4107
239.0,-4204
246.0,-4237
253.0,-4292
257.0,-4320
260.0,-4349
264.0,-4379
267.0,-4407
270.0,-4407
273.0,-4431
277.0,-4452
285.0,-4483
291.0,-4526
298.0,-4567
303.0,-4608
307.0,-4373
313.0,-4645
317.0,-4662
324.0,-4705
327.0,-4722
334.0,-4742
343.0,-4774
346.0,-4788
357.0,-4833
365.0,-4860
368.0,-4875
371.0,-4882
374.0,-4896
378.0,-4896
382.0,-4926
386.0,-4939
392.0,-4947
398.0,-4971
402.0,-4982
405.0,-4982
408.0,-4988
412.0,-4998
415.0,-5008
418.0,-5015
424.0,-5015
430.0,-5047
434.0,-5047
438.0,-5065
442.0,-5071
450.0,-5090
455.0,-5094
461.0,-5106
464.0,-5106
468.0,-5106
472.0,-5116
475.0,-5118
478.0,-5135
481.0,-5142
485.0,-5142
490.0,-5147
495.0,-5159
498.0,-5168
501.0,-5168
509.0,-5179
515.0,-5183
522.0,-5188
525.0,-5200
528.0,-5200
531.0,-5204
535.0,-5202
538.0,-5214
546.0,-5217
553.0,-5227
556.0,-5227
558.0,-5225
563.0,-5233
566.0,-5232
570.0,-5241
576.0,-5245
579.0,-5248
582.0,-5242
592.0,-5257
597.0,-5259
599.0,-5259
602.0,-5260
604.0,-5267
607.0,-5267
610.0,-5266
612.0,-5273
615.0,-5273
618.0,-5269
623.0,-5280
627.0,-5282
632.0,-5278
635.0,-5276
638.0,-5278
642.0,-5280
651.0,-5292
654.0,-5293
657.0,-5290
659.0,-5297
662.0,-5297
665.0,-5294
672.0,-5304
679.0,-5302
684.0,-5301
687.0,-5301
692.0,-5315
695.0,-5311
698.0,-5311
701.0,-5304
704.0,-5314
707.0,-5314
714.0,-5319
717.0,-5318
720.0,-5316
722.0,-5316
725.0,-5314
727.0,-5319
730.0,-5319
732.0,-5316
734.0,-5316
737.0,-5321
740.0,-5325
743.0,-5326
746.0,-5326
752.0,-5329
755.0,-5326
762.0,-5326
765.0,-5321
777.0,-5328
784.0,-5335
794.0,-5333
798.0,-5335
801.0,-5334
806.0,-5331
808.0,-5331
814.0,-5339
817.0,-5340
822.0,-5331
828.0,-5341
836.0,-5344
840.0,-5338
844.0,-5339
846.0,-5343
850.0,-5343
852.0,-5342
855.0,-5339
858.0,-5345
861.0,-5345
864.0,-5338
867.0,-5345
870.0,-5345
875.0,-5343
880.0,-5342
883.0,-5342
887.0,-5345
890.0,-5347
893.0,-5347
895.0,-5345
898.0,-5351
901.0,-5348
904.0,-5348
908.0,-5339
913.0,-5348
916.0,-5348
920.0,-5339
923.0,-5348
925.0,-5351
929.0,-5351
941.0,-5351
947.0,-5354
953.0,-5347
956.0,-5347
961.0,-5341
965.0,-5352
967.0,-5352
971.0,-5351
976.0,-5352
980.0,-5351
986.0,-5348
993.0,-5351
997.0,-5353
1000.0,-5353
1002.0,-5346
1005.0,-5353
1008.0,-5353
1014.0,-5353
1019.0,-5355
1022.0,-5353
1028.0,-5353
1031.0,-5352
1034.0,-5351
1036.0,-5355
1039.0,-5355
1042.0,-5349
1044.0,-5355
1051.0,-5354
1057.0,-5351
1061.0,-5356
1064.0,-5352
1067.0,-5352
1069.0,-5344
1072.0,-5350
1074.0,-5350
1077.0,-5346
1080.0,-5355
1082.0,-5355
1085.0,-5349
1090.0,-5356
1097.0,-5354
1101.0,-5356
1104.0,-5356
1107.0,-5353
1109.0,-5346
1113.0,-5355
1115.0,-5353
1118.0,-5353
1120.0,-5352
1126.0,-5357
1130.0,-5358
1132.0,-5352
1136.0,-5356
1138.0,-5356
1141.0,-5347
1149.0,-5353
1154.0,-5356
1158.0,-5360
1165.0,-5355
1175.0,-5357
1178.0,-5357
1181.0,-5349
1184.0,-5354
1186.0,-5354
1193.0,-5355
1201.0,-5360
1203.0,-5356
1209.0,-5354
1212.0,-5359
1215.0,-5360
1218.0,-5360
1220.0,-5354
1223.0,-5353
1228.0,-5356
1234.0,-5356
1237.0,-5355
1240.0,-5357
1242.0,-5360
1248.0,-5360
1254.0,-5357
1262.0,-5358
1265.0,-5355
1269.0,-5351
1271.0,-5355
1274.0,-5355
1276.0,-5354
1279.0,-5350
1282.0,-5350
1294.0,-5359
1296.0,-5355
1299.0,-5348
1302.0,-5352
1308.0,-5352
1312.0,-5358
1316.0,-5360
1319.0,-5359
1325.0,-5359
1328.0,-5357
1330.0,-5356
1336.0,-5356
1338.0,-5356
1341.0,-5356
1347.0,-5356
1350.0,-5358
1353.0,-5358
1356.0,-5357
1359.0,-5353
1361.0,-5358
1363.0,-5358
1368.0,-5355
1374.0,-5355
1376.0,-5355
1379.0,-5346
1384.0,-5358
1387.0,-5352
1390.0,-5354
1393.0,-5354
1395.0,-5354
1398.0,-5355
1400.0,-5355
1402.0,-5352
1405.0,-5356
1408.0,-5356
1413.0,-5350
1415.0,-5350
1418.0,-5352
1421.0,-5356
1431.0,-5358
1437.0,-5356
1440.0,-5356
1443.0,-5350
1446.0,-5352
1449.0,-5356
1452.0,-5356
1455.0,-5347
1457.0,-5355
1460.0,-5355
1463.0,-5355
1465.0,-5351
1468.0,-5351
1473.0,-5359
1481.0,-5355
1483.0,-5355
1486.0,-5348
1492.0,-5350
1494.0,-5350
1497.0,-5354
1500.0,-5354
1502.0,-5355
1504.0,-5356
1507.0,-5356
1510.0,-5348
1513.0,-5355
1515.0,-5355
1518.0,-5349
1521.0,-5358
1525.0,-5352
1528.0,-5355
1531.0,-5355
1534.0,-5345
1536.0,-5355
1539.0,-5355
1542.0,-5350
1544.0,-5355
1547.0,-5355
1549.0,-5349
1555.0,-5356
1559.0,-5357
1566.0,-5354
1572.0,-5354
