t_ms,value
0.0,50
6.0,51
9.0,53
11.0,63
14.0,52
20.0,48
23.0,50
27.0,52
30.0,51
37.0,51
41.0,51
46.0,51
50.0,-50
53.0,-50
56.0,-145
59.0,-254
62.0,-344
68.0,-469
74.0,-769
80.0,-917
82.0,-1058
89.0,-1058
96.0,-1487
101.0,-1750
107.0,-1873
117.0,-2105
121.0,-2310
124.0,-2310
129.0,-2414
134.0,-2619
138.0,-2721
141.0,-2815
144.0,-2815
149.0,-2900
152.0,-2984
159.0,-3160
165.0,-3318
168.0,-3318
172.0,-3387
177.0,-3552
180.0,-3552
184.0,-3614
188.0,-3696
193.0,-3832
196.0,-3637
199.0,-3893
204.0,-3949
211.0,-4078
214.0,-4132
217.0,-4191
219.0,-4191
222.0,-4246
226.0,-4301
229.0,-4352
232.0,-4402
239.0,-4453
242.0,-4499
246.0,-4550
250.0,-4601
252.0,-4646
255.0,-4646
260.0,-4686
263.0,-4734
266.0,-4778
272.0,-4820
275.0,-4851
277.0,-4894
280.0,-4939
283.0,-4939
286.0,-4971
289.0,-5002
291.0,-5002
295.0,-5044
298.0,-5072
305.0,-5143
309.0,-5175
312.0,-5210
314.0,-5210
323.0,-5270
327.0,-5299
330.0,-5321
333.0,-5348
336.0,-5380
339.0,-5380
349.0,-5428
352.0,-5476
354.0,-5476
359.0,-5523
365.0,-5547
369.0,-5561
371.0,-5586
374.0,-5586
380.0,-5628
387.0,-5656
390.0,-5656
393.0,-5671
395.0,-5692
398.0,-5692
402.0,-5707
407.0,-5746
411.0,-5761
416.0,-5773
418.0,-5773
421.0,-5788
424.0,-5796
427.0,-5808
429.0,-5808
432.0,-5816
435.0,-5835
438.0,-5835
441.0,-5850
446.0,-5862
453.0,-5873
461.0,-5902
466.0,-5924
469.0,-5924
472.0,-5933
474.0,-5949
478.0,-5956
481.0,-5956
484.0,-5958
486.0,-5972
489.0,-5972
494.0,-5968
498.0,-6000
501.0,-6000
510.0,-6006
514.0,-6027
518.0,-6027
521.0,-6022
524.0,-6038
530.0,-6061
536.0,-6063
539.0,-6074
542.0,-6076
544.0,-6076
547.0,-6065
550.0,-6092
552.0,-6092
559.0,-6092
567.0,-6113
570.0,-6115
577.0,-6128
581.0,-6128
588.0,-6138
590.0,-6126
596.0,-6147
602.0,-6145
604.0,-6145
610.0,-6159
613.0,-6159
615.0,-6159
618.0,-6161
620.0,-6161
622.0,-6178
628.0,-6176
631.0,-6180
634.0,-6188
639.0,-6191
641.0,-6186
647.0,-6209
649.0,-6216
652.0,-6216
655.0,-6209
657.0,-6219
660.0,-6227
663.0,-6227
665.0,-6216
669.0,-6216
672.0,-6247
676.0,-6247
678.0,-6246
681.0,-6242
683.0,-6242
685.0,-6246
687.0,-6246
689.0,-6254
691.0,-6254
