t_ms,value
0.0,38
18.0,39
33.0,37
47.0,41
64.0,39
79.0,-1738
93.0,-2502
108.0,-2827
124.0,-3113
141.0,-3340
156.0,-3572
176.0,-3748
195.0,-3927
209.0,-4083
224.0,-4189
238.0,-4298
256.0,-4394
270.0,-4481
288.0,-4552
304.0,-4630
318.0,-4692
335.0,-4740
349.0,-4802
364.0,-4838
380.0,-4884
396.0,-4936
412.0,-4964
427.0,-5000
445.0,-5027
459.0,-5053
474.0,-5071
489.0,-5090
503.0,-5109
518.0,-5122
