t_ms,value
0.0,36
21.0,38
43.0,40
58.0,43
72.0,44
88.0,33
101.0,36
115.0,-1504
132.0,-2316
146.0,-2797
160.0,-3048
176.0,-3274
193.0,-3505
207.0,-3692
221.0,-3838
236.0,-3955
251.0,-4076
265.0,-4191
283.0,-4301
297.0,-4395
315.0,-4504
332.0,-4580
346.0,-4644
360.0,-4699
378.0,-4761
392.0,-4811
407.0,-4848
422.0,-4884
436.0,-4920
449.0,-4951
465.0,-4978
480.0,-5007
494.0,-5026
508.0,-5053
524.0,-5073
