t_ms,value
0.0,41
17.0,40
36.0,40
55.0,43
71.0,35
85.0,34
102.0,35
123.0,-1935
141.0,-2509
156.0,-2860
174.0,-3156
188.0,-3396
203.0,-3578
221.0,-3775
236.0,-3924
251.0,-4062
267.0,-4175
284.0,-4307
300.0,-4418
317.0,-4511
333.0,-4592
352.0,-4684
368.0,-4747
384.0,-4807
402.0,-4861
421.0,-4919
439.0,-4965
459.0,-5004
476.0,-5045
494.0,-5080
516.0,-5101
533.0,-5133
